Location,Price,Bedrooms,Bathrooms,Toilets,Parking
Runda,"100,000,000",5,5,NaN,NaN
Kileleshwa,"27,500,000",4,5,5,NaN
Ruai,"7,800,000",5,4,5,2
Karen,"75,500,000",5,5,NaN,NaN
Haven,"120,000,000",4,4,4,4
Lavington,"75,000,000",4,NaN,NaN,NaN
Riverside Drive,"49,000,000",5,5,NaN,NaN
Shanzu Road,"57,500,000",6,7,NaN,NaN
Westlands,"68,000,000",5,5,5,NaN
Lavington,"50,000,000",4,4,NaN,NaN
Lavington,"95,000,000",5,5,1,NaN
Westlands,"40,000,000",4,4,4,4
Runda,"200,000,000",7,5,5,2
Kitisuru,"25,500,000",4,NaN,NaN,NaN
Kitisuru,"63,000,000",4,4,1,NaN
Tree Lane,"170,000,000",6,5,6,3
Kiambu Road,"38,250,000",3,3,3,3
Langata,"32,000,000",4,4,4,4
Riara Rd,"55,000,000",4,5,6,4
Karen South,"75,000,000",7,7,7,NaN
Raphta Road,"38,000,000",5,5,6,3
Menelik Road,"30,000,000",4,3,4,3
Kabaserian,"55,000,000",4,4,5,NaN
Kitisuru,"400,000,000",7,8,9,10
Langata Link Road,"32,500,000",4,5,5,3
Garden Estate,"90,000,000",5,5,5,5
Garden Estate,"75,000,000",5,5,5,4
Kabaserian,"56,000,000",5,5,5,2
Lower Kabete,"150,000,000",5,5,5,6
Lavington,"120,000,000",4,4,5,4
Runda,"105,000,000",6,7,7,14
Peponi Road,"65,000,000",5,5,6,4
Kiambu Road,"90,000,000",5,5,5,2
Lower Kabete Road,"100,000,000",5,5,6,5
Muthaiga Road,"250,000,000",7,5,6,15
Runda Ever Green,"85,000,000",6,6,7,NaN
Runda,"250,000,000",5,5,5,7
Spring Valley Road,"250,000,000",14,12,12,15
Kiambu Road,"28,000,000",4,3,3,2
Ndoto Road,"65,000,000",5,5,6,3
Brookside Road,"35,000,000",4,4,3,NaN
Malaa Kdo Rd,"4,900,000",3,2,2,NaN
Hatheru Rd,"50,000,000",5,5,5,NaN
Njumbi Rd,"100,000,000",5,5,5,NaN
Thindigua,"32,000,000",4,4,4,2
Kiambu Road,"42,000,000",4,4,5,3
Spring Estate,"42,000,000",4,4,5,3
Hillcrest,"53,000,000",4,5,6,4
Bogani,"75,000,000",5,6,7,4
Parklands,"45,000,000",5,4,4,NaN
Karen Langata Road,"55,000,000",4,3,4,4
Runda,"140,000,000",7,7,7,NaN
Karen Langata Road,"55,000,000",4,4,4,4
Forest Edge Road,"120,000,000",5,6,7,3
Muthaiga North Rd,"42,000,000",5,5,4,NaN
Mzima Springs,"300,000,000",6,NaN,NaN,NaN
Karen,"98,500,000",5,6,NaN,NaN
Karen,"150,000,000",5,6,NaN,NaN
Hardy Area,"120,000,000",5,7,7,6
Peponi Road,"85,000,000",5,6,6,NaN
Karen,"160,000,000",6,7,7,NaN
Ridge,"120,000,000",5,5,6,5
Lavington,"120,000,000",4,5,NaN,NaN
Convent Road,"55,000,000",5,5,6,3
Valley Arcade,"38,000,000",4,4,4,"4,830"
Loresho,"47,000,000",4,4,4,2
Kitisuru,"33,000,000",5,340,NaN,NaN
Raphta Road,"38,000,000",5,4,5,3
Brookside Gardens,"19,000,000",2,180,NaN,NaN
Old Muthaiga,"380,000,000",5,6,6,10
Runda,"120,000,000",5,6,6,9
Spring Valley,"85,000,000",5,6,6,9
Lower Kabete,"650,000,000",5,6,6,9
Kitisuru,"189,000,000",3,4,4,8
Karen,"110,000,000",5,6,6,7
Karen,"70,000,000",6,7,7,8
Hardy,"65,000,000",4,5,5,6
Runda,"550,000,000",16,18,18,30
Kabasran Avenue,"65,000,000",5,5,6,4
Kitisuru,"98,500,000",5,5,1,NaN
Grevallea Grove,"70,000,000",5,5,6,3
Loresho,"130,000,000",5,7,NaN,NaN
Lavington,"95,000,000",4,4,1,NaN
Lavington,"50,000,000",5,5,5,2
Denis Pritt Road,"38,000,000",4,4,5,2
69 Woodvale Close,"70,000,000",4,4,NaN,NaN
